Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Actual_Status,Prediction_Match
1,2,RANK,John O'Hurley,26.0,0.2281,0.1337,Safe,True
1,2,RANK,Kelly Monaco,17.0,0.1487,0.0793,Safe,True
1,2,RANK,Evander Holyfield,14.0,0.2468,0.1373,Safe,True
1,2,RANK,Rachel Hunter,24.0,0.1417,0.1059,Safe,True
1,2,RANK,Joey McIntyre,21.0,0.1869,0.1253,Safe,True
1,2,RANK,Trista Sutter,19.0,0.0478,0.0337,Eliminated,True
1,3,RANK,John O'Hurley,24.0,0.1962,0.1347,Safe,True
1,3,RANK,Kelly Monaco,21.0,0.2351,0.1365,Safe,True
1,3,RANK,Evander Holyfield,13.0,0.1072,0.0703,Eliminated,True
1,3,RANK,Rachel Hunter,26.0,0.2089,0.1252,Safe,True
1,3,RANK,Joey McIntyre,22.0,0.2526,0.1805,Safe,True
1,4,RANK,John O'Hurley,21.0,0.2342,0.106,Safe,True
1,4,RANK,Kelly Monaco,26.0,0.2371,0.1644,Safe,True
1,4,RANK,Rachel Hunter,25.0,0.1025,0.0721,Eliminated,True
1,4,RANK,Joey McIntyre,20.0,0.4262,0.1467,Safe,True
2,1,RANK,Tatum O'Neal,23.0,0.0987,0.0668,Safe,True
2,1,RANK,Tia Carrere,20.0,0.1001,0.0647,Safe,True
2,1,RANK,George Hamilton,18.0,0.12,0.0709,Safe,True
2,1,RANK,Lisa Rinna,19.0,0.1052,0.0831,Safe,True
2,1,RANK,Stacy Keibler,22.0,0.0852,0.0575,Safe,True
2,1,RANK,Jerry Rice,21.0,0.0979,0.0645,Safe,True
2,1,RANK,Giselle Fernandez,23.0,0.0943,0.0663,Safe,True
2,1,RANK,Master P,12.0,0.1312,0.0733,Safe,True
2,1,RANK,Drew Lachey,24.0,0.1322,0.105,Safe,True
2,1,RANK,Kenny Mayne,13.0,0.0352,0.0262,Eliminated,True
2,2,RANK,Tatum O'Neal,17.0,0.042,0.0308,Eliminated,True
2,2,RANK,Tia Carrere,22.0,0.0969,0.0677,Safe,True
2,2,RANK,George Hamilton,22.0,0.1272,0.0917,Safe,True
2,2,RANK,Lisa Rinna,20.0,0.1393,0.0938,Safe,True
2,2,RANK,Stacy Keibler,29.0,0.1314,0.0971,Safe,True
2,2,RANK,Jerry Rice,23.0,0.1164,0.0826,Safe,True
2,2,RANK,Giselle Fernandez,24.0,0.1141,0.0829,Safe,True
2,2,RANK,Master P,16.0,0.1263,0.067,Safe,True
2,2,RANK,Drew Lachey,27.0,0.1065,0.0804,Safe,True
2,3,RANK,Tia Carrere,26.0,0.0895,0.0651,Safe,True
2,3,RANK,George Hamilton,22.0,0.1241,0.0695,Safe,True
2,3,RANK,Lisa Rinna,25.0,0.1789,0.1156,Safe,True
2,3,RANK,Stacy Keibler,27.0,0.1399,0.1055,Safe,True
2,3,RANK,Jerry Rice,19.0,0.1451,0.0643,Safe,True
2,3,RANK,Giselle Fernandez,22.0,0.0328,0.0246,Eliminated,True
2,3,RANK,Master P,14.0,0.1798,0.063,Safe,True
2,3,RANK,Drew Lachey,27.0,0.11,0.0792,Safe,True
2,4,RANK,Tia Carrere,25.0,0.1385,0.0962,Safe,True
2,4,RANK,George Hamilton,21.0,0.1475,0.0878,Safe,True
2,4,RANK,Lisa Rinna,26.0,0.1614,0.0989,Safe,True
2,4,RANK,Stacy Keibler,26.0,0.1866,0.1278,Safe,True
2,4,RANK,Jerry Rice,24.0,0.1576,0.1126,Safe,True
2,4,RANK,Master P,8.0,0.0702,0.047,Eliminated,True
2,4,RANK,Drew Lachey,28.0,0.1382,0.083,Safe,True
2,5,RANK,Tia Carrere,22.0,0.0903,0.0608,Eliminated,True
2,5,RANK,George Hamilton,24.0,0.1951,0.1089,Safe,True
2,5,RANK,Lisa Rinna,25.0,0.1812,0.1246,Safe,True
2,5,RANK,Stacy Keibler,30.0,0.1452,0.1024,Safe,True
2,5,RANK,Jerry Rice,23.0,0.1996,0.1091,Safe,True
2,5,RANK,Drew Lachey,27.0,0.1886,0.1223,Safe,True
2,6,RANK,George Hamilton,23.0,0.0786,0.0593,Eliminated,True
2,6,RANK,Lisa Rinna,27.0,0.2231,0.1501,Safe,True
2,6,RANK,Stacy Keibler,30.0,0.2988,0.1893,Safe,True
2,6,RANK,Jerry Rice,23.0,0.2152,0.1129,Safe,True
2,6,RANK,Drew Lachey,30.0,0.1844,0.12,Safe,True
2,7,RANK,Lisa Rinna,26.5,0.1512,0.1005,Eliminated,True
2,7,RANK,Stacy Keibler,27.5,0.2389,0.1608,Safe,True
2,7,RANK,Jerry Rice,20.5,0.3248,0.1327,Safe,True
2,7,RANK,Drew Lachey,27.5,0.2851,0.1716,Safe,True
3,1,PERCENT,Harry Hamlin,17.0,0.0993,0.0695,Safe,True
3,1,PERCENT,Vivica A. Fox,22.0,0.0925,0.0615,Safe,True
3,1,PERCENT,Monique Coleman,19.0,0.107,0.0716,Safe,True
3,1,PERCENT,Joey Lawrence,21.0,0.0919,0.0596,Safe,True
3,1,PERCENT,Mario Lopez,26.0,0.0881,0.0626,Safe,True
3,1,PERCENT,Emmitt Smith,24.0,0.0953,0.0742,Safe,True
3,1,PERCENT,Shanna Moakler,18.0,0.0786,0.0557,Safe,True
3,1,PERCENT,Willa Ford,22.0,0.101,0.0762,Safe,True
3,1,PERCENT,Sara Evans,15.0,0.1292,0.0816,Safe,True
3,1,PERCENT,Jerry Springer,16.0,0.0911,0.0637,Safe,True
3,1,PERCENT,Tucker Carlson,12.0,0.0259,0.0169,Eliminated,True
3,2,PERCENT,Harry Hamlin,21.0,0.1232,0.0742,Safe,True
3,2,PERCENT,Vivica A. Fox,24.0,0.114,0.0705,Safe,True
3,2,PERCENT,Monique Coleman,26.0,0.0964,0.0669,Safe,True
