Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Status
1,1,RANK,John O'Hurley,20.0,0.1412,0.0849,Safe
1,1,RANK,Kelly Monaco,13.0,0.1558,0.1051,Safe
1,1,RANK,Evander Holyfield,18.0,0.1736,0.1013,Safe
1,1,RANK,Rachel Hunter,20.0,0.2421,0.1526,Safe
1,1,RANK,Joey McIntyre,20.0,0.116,0.0758,Safe
1,1,RANK,Trista Sutter,18.0,0.1713,0.113,Safe
1,2,RANK,John O'Hurley,26.0,0.1751,0.1191,Safe
1,2,RANK,Kelly Monaco,17.0,0.1723,0.0962,Safe
1,2,RANK,Evander Holyfield,14.0,0.283,0.1543,Safe
1,2,RANK,Rachel Hunter,24.0,0.1271,0.0979,Safe
1,2,RANK,Joey McIntyre,21.0,0.1902,0.1358,Safe
1,2,RANK,Trista Sutter,19.0,0.0522,0.0373,Eliminated
1,3,RANK,John O'Hurley,24.0,0.1651,0.1115,Safe
1,3,RANK,Kelly Monaco,21.0,0.2936,0.1437,Safe
1,3,RANK,Evander Holyfield,13.0,0.1591,0.0939,Eliminated
1,3,RANK,Rachel Hunter,26.0,0.1772,0.1333,Safe
1,3,RANK,Joey McIntyre,22.0,0.205,0.1069,Safe
1,4,RANK,John O'Hurley,21.0,0.2702,0.1146,Safe
1,4,RANK,Kelly Monaco,26.0,0.1206,0.0787,Safe
1,4,RANK,Rachel Hunter,25.0,0.1108,0.0782,Eliminated
1,4,RANK,Joey McIntyre,20.0,0.4984,0.1252,Safe
1,5,RANK,John O'Hurley,27.0,0.4947,0.2315,Safe
1,5,RANK,Kelly Monaco,23.5,0.3323,0.2424,Safe
1,5,RANK,Joey McIntyre,22.5,0.1731,0.1166,Eliminated
1,6,RANK,John O'Hurley,27.0,0.747,0.1478,Safe
1,6,RANK,Kelly Monaco,27.5,0.253,0.1478,Eliminated
2,1,RANK,Tatum O'Neal,23.0,0.1207,0.0764,Safe
2,1,RANK,Tia Carrere,20.0,0.0949,0.0765,Safe
2,1,RANK,George Hamilton,18.0,0.1068,0.0692,Safe
2,1,RANK,Lisa Rinna,19.0,0.0836,0.0564,Safe
2,1,RANK,Stacy Keibler,22.0,0.1046,0.0756,Safe
2,1,RANK,Jerry Rice,21.0,0.1087,0.073,Safe
2,1,RANK,Giselle Fernandez,23.0,0.1181,0.0906,Safe
2,1,RANK,Master P,12.0,0.1228,0.0655,Safe
2,1,RANK,Drew Lachey,24.0,0.1044,0.0802,Safe
2,1,RANK,Kenny Mayne,13.0,0.0353,0.0261,Eliminated
2,2,RANK,Tatum O'Neal,17.0,0.0395,0.0283,Eliminated
2,2,RANK,Tia Carrere,22.0,0.0911,0.0696,Safe
2,2,RANK,George Hamilton,22.0,0.1227,0.0911,Safe
2,2,RANK,Lisa Rinna,20.0,0.116,0.0719,Safe
2,2,RANK,Stacy Keibler,29.0,0.1203,0.0699,Safe
2,2,RANK,Jerry Rice,23.0,0.1144,0.086,Safe
