celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,eliminated_week,withdrew,avg_score_w1,total_score_w1,pool_total_score_w1,judge_pct_w1,avg_score_w10,total_score_w10,pool_total_score_w10,judge_pct_w10,avg_score_w11,total_score_w11,pool_total_score_w11,judge_pct_w11,avg_score_w2,total_score_w2,pool_total_score_w2,judge_pct_w2,avg_score_w3,total_score_w3,pool_total_score_w3,judge_pct_w3,avg_score_w4,total_score_w4,pool_total_score_w4,judge_pct_w4,avg_score_w5,total_score_w5,pool_total_score_w5,judge_pct_w5,avg_score_w6,total_score_w6,pool_total_score_w6,judge_pct_w6,avg_score_w7,total_score_w7,pool_total_score_w7,judge_pct_w7,avg_score_w8,total_score_w8,pool_total_score_w8,judge_pct_w8,avg_score_w9,total_score_w9,pool_total_score_w9,judge_pct_w9,age_group,origin_type
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,False,6.666666666666667,20.0,109.0,0.1834862385321101,,,0.0,,,,0.0,,8.666666666666666,26.0,121.0,0.21487603305785125,8.0,24.0,106.0,0.22641509433962265,7.0,21.0,92.0,0.22826086956521738,9.0,27.0,73.0,0.3698630136986301,9.0,27.0,54.5,0.4954128440366973,,,0.0,,,,0.0,,,,0.0,,Middle-Aged,Domestic
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,False,4.333333333333333,13.0,109.0,0.11926605504587157,,,0.0,,,,0.0,,5.666666666666667,17.0,121.0,0.14049586776859505,7.0,21.0,106.0,0.19811320754716982,8.666666666666666,26.0,92.0,0.2826086956521739,7.833333333333333,23.5,73.0,0.3219178082191781,9.166666666666666,27.5,54.5,0.5045871559633027,,,0.0,,,,0.0,,,,0.0,,Adult,Domestic
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,False,6.0,18.0,109.0,0.1651376146788991,,,0.0,,,,0.0,,4.666666666666667,14.0,121.0,0.11570247933884298,4.333333333333333,13.0,106.0,0.12264150943396226,0.0,0.0,92.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,54.5,0.0,,,0.0,,,,0.0,,,,0.0,,Middle-Aged,Domestic
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,False,6.666666666666667,20.0,109.0,0.1834862385321101,,,0.0,,,,0.0,,8.0,24.0,121.0,0.19834710743801653,8.666666666666666,26.0,106.0,0.24528301886792453,8.333333333333334,25.0,92.0,0.2717391304347826,0.0,0.0,73.0,0.0,0.0,0.0,54.5,0.0,,,0.0,,,,0.0,,,,0.0,,Adult,International
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,6.666666666666667,20.0,109.0,0.1834862385321101,,,0.0,,,,0.0,,7.0,21.0,121.0,0.17355371900826447,7.333333333333333,22.0,106.0,0.20754716981132076,6.666666666666667,20.0,92.0,0.21739130434782608,7.5,22.5,73.0,0.3082191780821918,0.0,0.0,54.5,0.0,,,0.0,,,,0.0,,,,0.0,,Adult,Domestic
Trista Sutter,Louis van Amstel,Tv Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,False,6.0,18.0,109.0,0.1651376146788991,,,0.0,,,,0.0,,6.333333333333333,19.0,121.0,0.15702479338842976,0.0,0.0,106.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,54.5,0.0,,,0.0,,,,0.0,,,,0.0,,Adult,Domestic
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,False,7.666666666666667,23.0,195.0,0.11794871794871795,,,0.0,,,,0.0,,5.666666666666667,17.0,200.0,0.085,0.0,0.0,182.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Middle-Aged,Domestic
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,5.0,False,6.666666666666667,20.0,195.0,0.10256410256410256,,,0.0,,,,0.0,,7.333333333333333,22.0,200.0,0.11,8.666666666666666,26.0,182.0,0.14285714285714285,8.333333333333334,25.0,158.0,0.15822784810126583,7.333333333333333,22.0,151.0,0.1456953642384106,0.0,0.0,133.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Adult,Domestic
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,6.0,False,6.0,18.0,195.0,0.09230769230769231,,,0.0,,,,0.0,,7.333333333333333,22.0,200.0,0.11,7.333333333333333,22.0,182.0,0.12087912087912088,7.0,21.0,158.0,0.13291139240506328,8.0,24.0,151.0,0.15894039735099338,7.666666666666667,23.0,133.0,0.17293233082706766,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Senior,Domestic
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,7.0,False,6.333333333333333,19.0,195.0,0.09743589743589744,,,0.0,,,,0.0,,6.666666666666667,20.0,200.0,0.1,8.333333333333334,25.0,182.0,0.13736263736263737,8.666666666666666,26.0,158.0,0.16455696202531644,8.333333333333334,25.0,151.0,0.16556291390728478,9.0,27.0,133.0,0.20300751879699247,8.833333333333334,26.5,102.0,0.25980392156862747,0.0,0.0,84.3329,0.0,,,0.0,,Middle-Aged,Domestic
