Season,Week,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Status
1,2,John O'Hurley,26.0,0.18789511459228378,0.13963053924430127,Safe
1,2,Kelly Monaco,17.0,0.2059689339835412,0.10607009681498729,Safe
1,2,Evander Holyfield,14.0,0.239092694914856,0.09735560596027652,Safe
1,2,Rachel Hunter,24.0,0.15100171112187452,0.10884183799075474,Safe
1,2,Joey McIntyre,21.0,0.15740192339920256,0.1105749298512024,Safe
1,2,Trista Sutter,19.0,0.05863962198824153,0.042201073853026766,Eliminated
1,3,John O'Hurley,24.0,0.22576490697460674,0.1371957627197558,Safe
1,3,Kelly Monaco,21.0,0.24621572451500337,0.15256762253920658,Safe
1,3,Evander Holyfield,13.0,0.11454908024227808,0.08431895393469685,Eliminated
1,3,Rachel Hunter,26.0,0.2009180956325846,0.1449867439339341,Safe
1,3,Joey McIntyre,22.0,0.21255219263552858,0.14958795909963937,Safe
1,4,John O'Hurley,21.0,0.29951360318645825,0.1513555961393719,Safe
1,4,Kelly Monaco,26.0,0.21731362373008634,0.1323918495762532,Safe
1,4,Rachel Hunter,25.0,0.08921539764634767,0.06288605003349887,Eliminated
1,4,Joey McIntyre,20.0,0.39395737543710696,0.12390257218866525,Safe
1,5,John O'Hurley,27.0,0.3062738377503365,0.219954322498408,Safe
1,5,Kelly Monaco,23.5,0.34030281170488497,0.21066051780761583,Safe
1,5,Joey McIntyre,22.5,0.3534233505447782,0.21897361185853667,Safe
1,6,John O'Hurley,27.0,0.44570935589753535,0.2752422654551001,Safe
1,6,Kelly Monaco,27.5,0.5542906441024648,0.2752422654551001,Safe
